#fname,lanme,Position,Number,College,DOB,Hand,Weight,Height,BodyType,Skin,Face,Dreads,Helmet,FaceMask,FaceShield,EyeBlack,MouthPiece,LeftGlove,RightGlove,LeftWrist,RightWrist,LeftElbow,RightElbow,Sleeves,LeftShoe,RightShoe,NeckRoll,Turtleneck
Frank,Gore,RB,21,Miami (Fla.),5/14/1983,Right,217,5' 9",Normal,Skin 6,Face 5,No,Standard,Type 7,Clear,Yes,No,Team 3,Team 3,None,None,None,None,None,Style 3,Style 3,None,Non
Tramaine,Brock,CB,26,None,8/20/1988,Right,197,5' 10",Skinny,Skin 4,Face 5,No,Standard,Type 5,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Non
Vernon,Davis,TE,85,Maryland,1/31/1984,Right,250,6' 3",Normal,Skin 4,Face 13,No,Revolution,Type 7,None,Yes,No,Team 3,Team 3,Double Black,Double Black,None,None,None,Style 3,Style 3,None,Non
Joe,Staley,T,74,Central Michigan,8/30/1984,Right,315,6' 5",Large,Skin 1,Face 13,No,Standard,Type 10,None,No,No,Team 3,Team 3,Taped Small,Taped Small,Neoprene,Neoprene,None,Style 3,Style 3,None,Non
Mike,Iupati,G,77,Idaho,5/12/1987,Left,331,6' 5",Large,Skin 2,Face 2,No,Revolution,Type 23,None,Yes,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Non
Daniel,Kilgore,C,67,Appalachian State,12/18/1987,Right,308,6' 3",Extra Large,Skin 1,Face 13,No,Standard,Type 6,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Non
Anthony,Davis,T,76,Rutgers,10/11/1989,Right,323,6' 5",Large,Skin 4,Face 15,No,Standard,Type 6,Clear,Yes,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Non
Ahmad,Brooks,OLB,55,Virginia,3/14/1984,Right,259,6' 3",Normal,Skin 3,Face 14,No,Standard,Type 10,None,No,No,Team 3,Team 3,Taped Small,Taped Small,High White,High White,None,Style 3,Style 3,None,Non
Justin,Smith,DE,94,Missouri,9/30/1979,Right,285,6' 4",Large,Skin 9,Face 15,No,Standard,Type 10,None,No,No,None,None,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Non
Ray,McDonald,DE,91,Florida,9/2/1984,Right,290,6' 3",Large,Skin 4,Face 2,Yes,Revolution,Type 23,None,No,No,Team 3,Team 3,Taped Small,Taped Small,None,None,None,Style 3,Style 3,None,Non
Andy,Lee,P,4,Pittsburgh,8/11/1982,Right,180,6' 2",Skinny,Skin 1,Face 15,No,Standard,Type 1,None,No,No,None,None,None,None,None,None,None,Style 3,Style 3,None,Non
